职位名称,链接,薪资,地区,学历要求,工作经验要求
大数据BI分析师,https://www.liepin.com/job/1915627383.shtml,24-54万,杭州,本科及以上,3年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914893801.shtml,面议,杭州,统招本科,3年以上
高级数据分析师,https://www.liepin.com/job/1915624608.shtml,面议,杭州-四季青,本科及以上,3年以上
数据分析师,https://www.liepin.com/job/1915091978.shtml,10-19万,杭州,统招本科,2年以上
安全数据分析员,https://www.liepin.com/job/1915561486.shtml,面议,杭州-滨江区,本科及以上,3年以上
数据分析/财务分析,https://www.liepin.com/job/1913274682.shtml,6-12万,杭州,本科及以上,1年以上
智能数据分析算法工程师(000958),https://www.liepin.com/job/1915581966.shtml,面议,杭州-余杭区,硕士及以上,4年以上
高级数据分析师,https://www.liepin.com/a/10889116.shtml,30-60万,"上海,北京,杭州",统招本科,3年以上
资深数据分析师,https://www.liepin.com/a/11019721.shtml,50-80万,"上海,杭州,北京",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10903470.shtml,20-30万,"上海,北京,杭州",统招本科,2年以上
商业数据分析专家,https://www.liepin.com/a/11342177.shtml,50-80万,"上海,北京,杭州",本科及以上,5年以上
数据分析高级经理,https://www.liepin.com/a/11989666.shtml,50-80万,"北京,上海,杭州",本科及以上,5年以上
高级数据分析经理,https://www.liepin.com/a/11237079.shtml,80-110万,"北京,上海,杭州",统招本科,5年以上
数据分析,https://www.liepin.com/a/9398634.shtml,40-70万,"上海,杭州,北京",学历不限,5年以上
商业决策分析专家（数据分析）,https://www.liepin.com/a/11535324.shtml,40-70万,"杭州,上海,深圳",本科及以上,4年以上
游戏数据分析师,https://www.liepin.com/a/11910938.shtml,20-40万,"上海,广州,杭州",学历不限,2年以上
数据分析专家,https://www.liepin.com/a/9889805.shtml,30-60万,"杭州,北京,上海",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11298932.shtml,45-75万,"杭州,上海",本科及以上,5年以上
数据分析专家,https://www.liepin.com/a/11874913.shtml,45-75万,"北京,上海,杭州",统招本科,3年以上
数据分析经理（EC）,https://www.liepin.com/a/11294370.shtml,20-30万,"上海,杭州,广州",学历不限,5年以上
资深数据分析师,https://www.liepin.com/a/11205802.shtml,30-40万,"上海,杭州,苏州",学历不限,3年以上
数据分析/商业分析,https://www.liepin.com/a/10239329.shtml,30-60万,"北京,上海,杭州",本科及以上,3年以上
数据分析师/数据分析员/数据分析,https://www.liepin.com/a/11861778.shtml,30-50万,"上海,杭州,北京",统招本科,3年以上
风险大数据分析-风控专家,https://www.liepin.com/a/11854143.shtml,30-50万,"上海,杭州",本科及以上,3年以上
数据分析经理/分析师,https://www.liepin.com/a/10750769.shtml,30-60万,"北京,上海,杭州",统招本科,3年以上
数据分析师,https://www.liepin.com/a/10622643.shtml,20-30万,"上海,杭州",本科及以上,2年以上
数据分析师,https://www.liepin.com/a/11827796.shtml,40-70万,"上海,杭州,北京",本科及以上,5年以上
数据-数据分析-业务分析,https://www.liepin.com/a/10603712.shtml,50-79万,"上海,杭州,北京",本科及以上,5年以上
BI数据分析经理/高级经理,https://www.liepin.com/a/11804408.shtml,25-55万,"上海,杭州",统招本科,3年以上
数据分析高级经理,https://www.liepin.com/a/11194119.shtml,20-30万,"杭州,北京,上海",大专及以上,5年以上
高级数据分析专家,https://www.liepin.com/a/11729159.shtml,40-70万,"杭州,上海,深圳",本科及以上,3年以上
商业智能部-数据分析专家,https://www.liepin.com/a/10495877.shtml,30-60万,"上海,北京,杭州",本科及以上,3年以上
数据分析师,https://www.liepin.com/a/11596883.shtml,30-50万,"上海,杭州,南京",统招本科,3年以上
数据分析总监,https://www.liepin.com/a/11667333.shtml,70-100万,"北京,上海,杭州",统招本科,3年以上
资深数据开发工程师（互联网分析）,https://www.liepin.com/a/11551676.shtml,40-60万,"上海,杭州,北京",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11020774.shtml,50-80万,"杭州,上海,深圳",统招本科,3年以上
数据分析专家,https://www.liepin.com/a/10996692.shtml,45-70万,"杭州,上海",统招本科,5年以上
数据分析专家,https://www.liepin.com/a/11549161.shtml,50-80万,"杭州,上海,深圳",学历不限,5年以上
数据分析,https://www.liepin.com/a/11999269.shtml,20-50万,"杭州,北京",本科及以上,3年以上
数据分析专家（BI决策支持）,https://www.liepin.com/a/11976284.shtml,50-80万,"杭州,北京",学历不限,5年以上
 数据分析总监,https://www.liepin.com/a/11770168.shtml,55-85万,"上海,杭州",本科及以上,3年以上
数据分析,https://www.liepin.com/a/11751720.shtml,20-50万,"杭州,北京,上海",本科及以上,3年以上
高级数据分析专家,https://www.liepin.com/a/11729159.shtml,40-70万,"杭州,上海,深圳",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11697240.shtml,40-70万,"北京,杭州,上海",本科及以上,3年以上
数据分析师,https://www.liepin.com/a/11596883.shtml,30-50万,"上海,杭州,南京",统招本科,3年以上
数据分析总监,https://www.liepin.com/a/11667333.shtml,70-100万,"北京,上海,杭州",统招本科,3年以上
资深数据开发工程师（互联网分析）,https://www.liepin.com/a/11551676.shtml,40-60万,"上海,杭州,北京",本科及以上,3年以上
数据分析,https://www.liepin.com/a/11595418.shtml,30-60万,"上海,杭州,北京",统招本科,3年以上
数据分析专家,https://www.liepin.com/a/11020774.shtml,50-80万,"杭州,上海,深圳",统招本科,3年以上
数据分析,https://www.liepin.com/a/12045072.shtml,20-50万,"杭州,北京",本科及以上,3年以上
数据分析专家（BI决策支持）,https://www.liepin.com/a/11976284.shtml,50-80万,"杭州,北京",学历不限,5年以上
数据分析,https://www.liepin.com/a/11964389.shtml,30-60万,"杭州,北京",本科及以上,3年以上
数据分析（BI）,https://www.liepin.com/a/11931760.shtml,30-60万,"北京,杭州",本科及以上,3年以上
数据分析专家（BI）-数据智能中心,https://www.liepin.com/a/11310927.shtml,50-80万,"杭州,北京,深圳",统招本科,3年以上
高级大数据分析,https://www.liepin.com/a/11878191.shtml,35-65万,"北京,深圳,杭州",统招本科,4年以上
数据分析,https://www.liepin.com/a/11864046.shtml,20-50万,"杭州,北京",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11540525.shtml,40-70万,"北京,杭州",统招本科,3年以上
数据分析专家（BI）,https://www.liepin.com/a/11777568.shtml,40-70万,"北京,杭州",统招本科,3年以上
游戏数据分析,https://www.liepin.com/a/11752743.shtml,40-70万,"深圳,杭州,北京",统招本科,5年以上
数据分析,https://www.liepin.com/a/11751756.shtml,20-50万,"成都,杭州,北京",本科及以上,3年以上
资深商业数据分析专员/专家,https://www.liepin.com/a/10401050.shtml,20-40万,"北京,杭州,深圳",统招本科,3年以上
数据分析经理,https://www.liepin.com/a/10424303.shtml,40-70万,"北京,广州,杭州",统招本科,5年以上
高级数据分析专家,https://www.liepin.com/a/11689015.shtml,70-90万,"深圳,杭州,北京",学历不限,5年以上
数据分析专家/高级专家,https://www.liepin.com/a/10952747.shtml,40-70万,"杭州,北京,深圳",统招本科,3年以上
游戏数据分析,https://www.liepin.com/a/11533207.shtml,40-70万,"深圳,杭州,北京",统招本科,5年以上
数据分析工程师,https://www.liepin.com/a/11805697.shtml,25-50万,"深圳,杭州,广州",本科及以上,2年以上
高级数据分析专家（商业分析方向）,https://www.liepin.com/a/11633537.shtml,50-80万,"深圳,杭州",本科及以上,5年以上
数据分析专家,https://www.liepin.com/a/11549137.shtml,40-70万,"杭州,深圳",学历不限,5年以上
商业数据分析专家,https://www.liepin.com/a/11342177.shtml,50-80万,"上海,北京,杭州",本科及以上,5年以上
数据分析高级经理,https://www.liepin.com/a/11989666.shtml,50-80万,"北京,上海,杭州",本科及以上,5年以上
高级数据分析经理,https://www.liepin.com/a/11237079.shtml,80-110万,"北京,上海,杭州",统招本科,5年以上
数据分析专家,https://www.liepin.com/a/9889805.shtml,30-60万,"杭州,北京,上海",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/11298932.shtml,45-75万,"杭州,上海",本科及以上,5年以上
数据分析经理（EC）,https://www.liepin.com/a/11294370.shtml,20-30万,"上海,杭州,广州",学历不限,5年以上
资深数据分析师,https://www.liepin.com/a/11205802.shtml,30-40万,"上海,杭州,苏州",学历不限,3年以上
商业智能部-数据分析专家,https://www.liepin.com/a/10495877.shtml,30-60万,"上海,北京,杭州",本科及以上,3年以上
数据分析专家,https://www.liepin.com/a/10996692.shtml,45-70万,"杭州,上海",统招本科,5年以上
数据分析专家,https://www.liepin.com/a/11549161.shtml,50-80万,"杭州,上海,深圳",学历不限,5年以上
数据分析师,https://www.liepin.com/job/1915568582.shtml,15-30万,杭州,统招本科,3年以上
高级数据分析工程师,https://www.liepin.com/job/1915519794.shtml,18-26万,杭州-仓前,本科及以上,3年以上
严选客服业务（数据）分析师-邮件事业部170,https://www.liepin.com/job/1915322903.shtml,面议,杭州,学历不限,5年以上
高级数据分析师,https://www.liepin.com/job/1915274478.shtml,7-12万,杭州,大专及以上,1年以上
资深/专家游戏数据分析师-美泰JV事业部001,https://www.liepin.com/job/1915214692.shtml,30-50万,杭州,学历不限,1年以上
高级数据分析工程师-盘古游戏部058,https://www.liepin.com/job/1915157265.shtml,面议,杭州,学历不限,1年以上
数据分析师 (MJ000108),https://www.liepin.com/job/1915062227.shtml,18-30万,杭州,大专及以上,3年以上
游戏数据分析师-杭州,https://www.liepin.com/job/1911316015.shtml,10-22万,杭州-长河,统招本科,1年以上
大数据分析工程师,https://www.liepin.com/job/1914820775.shtml,12-24万,杭州,大专及以上,经验不限
数据分析师,https://www.liepin.com/job/1914812928.shtml,12-24万,杭州-古荡,本科及以上,2年以上
